Images,Title,Description,Brand,Condition,Primary Color,Secondary Color,Tags,Sku,Category,Price,Status,Listed Date,Sold Date,Shipped Date,Listing Platforms,Sold Platform,Internal Notes,Price Sold,Cost of Goods,Marketplace Fees,Shipping Expenses,Labels,Quantity Left,Quantity Sold
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/a9b9449f-5907-492b-8939-1e381128ab8a.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",George Vintage Ruffle Front Blouse - Purple Geometric Romantic 90s Classic,"Vintage romantic George blouse with ruffle front detail in purple with black geometric pattern.

Classic fit with long sleeves and button front in lightweight woven polyester, styled for layering or transitional seasons.

Condition: Excellent vintage; Flaws: none visible in photos. See photos for details.

Measurements: see photos for full measurements

Open to offers! Happy to bundle. Ships next business day.

",George,Pre-Owned - Excellent,Purple,Black,,,Tops,14,Sold,2025-10-27,2026-03-19,,eBay,eBay,"sleeve:
length:
p2p:
og tp: 4",,1.24,,,"raghouse, clothing, A6, Secretary Blouses, 90days+, cog:1.25",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/8f83bc40-fc77-4874-8baa-9d38d5cd25a8.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Universal Thread 4 Cream White Jeans High Rise Flare,"Universal Thread cream/off-white high rise wide-leg flare jeans in 100% cotton denim. Classic 5-pocket styling with button fly.

High rise in cotton denim, styled for all seasons.

Size: 4

Measurements:
- Waist: 14"" flat (~28"" actual)
- Rise: 12""
- Inseam: 27""
- Leg opening: 11""
- Outer seam: 38""

Condition: Fair pre-owned; Flaws: Blue dye transfer throughout, two red dots on waistline and front left leg, small orange stain on bottom back left leg. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Universal Thread,Pre-Owned - Fair,Cream,,"universal thread, cream, white, jeans, high rise, flare, wide leg, vintage, size 4, imperfections",,Jeans,20,Sold,2026-02-18,2026-03-18,,Poshmark,Poshmark,,,2.43,,,"A18, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/51b6cafc-db13-4d4d-8053-f8f1069e4793.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Solitaire eyelet floral belted shirt dress pastel y2k cottagecore,"Eyelet floral, cottagecore, pastel, belted, shirt dress, y2k. Soft cotton fabric with embroidered eyelet pattern and dreamy watercolor floral print. Features collared neckline, half sleeves with tabs and a removable belt for a flattering fit. Cottagecore vintage aesthetic reminiscent of early 2000s. 

Gently used vintage condition with minor signs of wear. 

Measurements approx: pit to pit 16"", length 33.5"", sleeve 12"".",Solitaire,Pre-Owned - Good,Yellow,Pink,"eyelet floral dress, belted shirt dress, cottagecore, y2k, pastel, boho, vintage, collared dress, spring dress",,Dresses,13,Sold,2025-08-04,2026-03-18,,Poshmark,Poshmark,"sleeve: 12
length: 33.5
p2p: 16
og tp: 23",,0,,,"A4, raghouse, clothing, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/48841adf-d520-4eca-bde7-7dcd5f947848.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",UNIQLO Ribbed Henley Cropped Tank Top Olive Green Scoop Neck Size M,"Cropped ribbed henley tank in olive/sage with scoop neckline and button placket. Soft cotton-rib stretch knit; comfy, fitted silhouette that pairs with high-rise bottoms. Minimalist/Y2K basic with subtle lettuce-edge hem. Condition: Excellent.",Uniqlo,Pre-Owned - Excellent,Green,,"y2k, minimalist, streetwear, ribbed tank, cropped, henley, olive green, summer basic, layering",,Tops,13,Sold,2025-09-14,2026-03-17,,Poshmark,Poshmark,"sleeve:
length:
p2p:
og tp: 7",11,1.24,2.95,0,"raghouse, clothing, A6, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/b2a7c78f-b199-4d1c-8c90-285bfaf44d1a.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Tommy Hilfiger Cargo Shorts Beige Khaki Utility Y2K 100% Cotton Adjustable Size 4,Utility cargo shorts in beige with relaxed fit and adjustable waist. Lightweight cotton fabric. Y2K/utility trend. Solid color. Condition: Good pre-owned with no visible flaws. See photos for measurements.,Tommy Hilfiger,Pre-Owned - Good,Beige,Brown,"Cargo, Utility, Y2K, 2000s, Casual, Summer, Cotton, Adjustable Waist, Relaxed Fit, Beige, Khaki, Pockets, Lightweight, Drawstring",,Shorts,12,Sold,2025-10-08,2026-03-17,,Depop,Depop,"sleeve:
length:
p2p:
og tp: 13",10.8,1.24,1.92,0,"raghouse, clothing, A9, lucia, cog:1.79, 90days+",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/dd4feb63-087d-42cc-b44e-f0d755f92222.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",PRINCESS POLLY coquette floral mini romper - white red skater fit Y2K,"Romantic Princess Polly romper with ruched bust, tie straps, and skirted overlay in white ditsy floral.​​

Fit‑and‑flare mini with built‑in shorts and invisible back zip in lightweight woven fabric, styled for spring and summer.​

Condition: excellent; see photos.​

Measurements: see photos for full measurements.​

Open to offers; happy to bundle; ships next business day.​",princess poly,Pre-Owned - Excellent,White,Red,,,Jumpsuits & Rompers,11,Sold,2026-01-19,2026-03-16,,Etsy,Etsy,"sleeve:
length:
p2p:
og tp:  13",11,0,1.3,6.39,"cog:0, lucia, A6, 90days+, clothing",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/67b6082a-869c-4d76-9f45-374f0b3355e6.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Los Sundays Tequila Kills The Boredom T-Shirt Medium White Graphic Tee,"Løs Sundays graphic t-shirt featuring a ""Tequila Kills The Boredom"" design inspired by the Marlboro logo. Bold red and black graphic on a white tee.

Size: Medium

Condition: Pre-Owned - Fair. Shows significant signs of wear. There are several paint spots/stains on the neckline, upper back, and sleeve. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Los Sundays,Pre-Owned - Fair,White,Red,"Los Sundays, Tequila, Graphic Tee, Streetwear, Marlboro, Parody, Alcohol",undefined,T-Shirts,18,Sold,2026-02-09,2026-03-16,,Depop,Depop,,8.8,2.93,0.98,0,"A10, cog:2.93, dirtywhitesportstees, raghouse",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/a0b613ac-9c2d-4e65-8a68-124fbe58e6de.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",UNIVERSAL THREAD 8 High Rise Wide Leg Jeans Blue Recycled,"Universal Thread high-rise wide leg jeans in medium blue wash. Sustainable recycled cotton blend.

Classic high-rise silhouette with wide leg fit.

Size: 8/S

Measurements:
Waist: 30""
Rise: 12""
Inseam: 27""
Leg Opening: 10""
Outerseam: 39""

Condition: Good pre-owned; Flaws: none visible. See photos for details.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Universal Thread,Pre-Owned - Good,Blue,,"universal thread, high rise jeans, wide leg, recycled cotton, denim, blue jeans, sustainable",,Jeans,26,Sold,2026-02-22,2026-03-14,,Depop,Depop,,12,2.43,1.09,0,"A18, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/1cb410b2-8f33-4210-a374-cfbec9c44510.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Denver Nuggets 2023 World Champions Roster Graphic Tee L White NBA,"Denver Nuggets 2023 World Champions roster graphic tee featuring Jokic, Murray, and team.

Regular fit in 100% cotton, styled for game day or casual wear.

Size: L

Condition: Good; Flaws: Small stain near bottom hem. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",NBA,Pre-Owned - Good,White,Blue,,,T-Shirts,21,Sold,2026-02-03,2026-03-12,,Depop,Depop,,10,2.93,1.83,0,"cog:2.93, raghouse, dirtywhitesportstees, A17",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/5b74bd0c-8d5c-4156-8ceb-6e8d8ded9750.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",RSQ 27 Y2K Baggy Pants Olive Green Wide Leg,"Y2K era RSQ baggy pants with olive green cotton twill. Features five-pocket styling, button fly, belt loops, and knee seam detail.

Wide leg baggy fit in cotton twill, styled for casual everyday wear.

Size: 27

Condition: Good pre-owned; Flaws: none. See photos for details.

Measurements: 

Outer seam: 36.5 in
Inseam: 25 in
Leg opening: 10 in
Waist: 14 in
Rise: 10 in

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",RSQ,Pre-Owned - Good,Green,,"rsq, pants, olive, wide leg, baggy, y2k, mens, size 28",,Jeans,20,Sold,2026-02-18,2026-03-11,,Poshmark,Poshmark,,15,2.43,3,0,"A18, raghouse, skaterflarejeans, cog:2.43",,1
